ID,Sand %,Clay %,Silt %,pH,N,P,K
143,34,24,42,7.07,7.18,15,142
144,32,36,32,5.59,3.61,22.99,219
145,22,38,40,7.93,6.87,10.24,193
146,16,44,40,7.8,14.05,22.26,479
147,22,32,46,8.01,8.32,16.49,363
148,38,20,42,8.15,3.87,10.72,102
149,36,20,44,7.99,5.94,9.49,174
150,30,30,40,8.04,3.87,3.86,282
151,28,28,44,7.95,12.9,18.02,1190
152,10,32,58,7.98,9.91,22.46,427
153,10,40,50,7.96,12.81,15.46,536
154,16,24,60,8.1,9.42,17.76,347
155,22,28,50,8.13,3.48,3.74,140
156,26,30,44,8.1,6.87,12.06,248
157,22,46,32,7.89,5.2,17.96,748
158,24,36,40,8,10.52,13.36,972
159,38,24,38,7.96,12.55,7.18,561
160,28,26,46,8.06,13.39,8.25,243
161,30,34,36,8.05,7.44,13.24,214
162,26,24,50,8.16,10.88,8.22,138
163,28,16,56,8.14,8.01,7.42,72
164,24,52,24,5.75,6.69,16.61,180
165,28,28,44,7.96,7.57,10.97,248
166,16,50,34,7.88,9.95,6.61,517
167,14,48,38,8.2,7.93,7.42,313
168,26,52,22,6.3,11.71,21.74,243
169,30,46,24,5.85,4.84,23.57,179
170,30,46,24,6.28,4.58,25.28,258
171,24,50,26,6.65,9.2,8.56,216
172,18,56,26,6.88,6.65,8.02,235
173,58,12,30,7.95,12.02,11.23,67
174,26,56,18,6.69,5.59,9.09,265
175,20,52,28,7.94,10.61,5.54,501
176,30,44,26,8.02,6.96,11.74,422
177,34,44,22,7.94,20.12,142.1,1420
178,20,56,24,8.03,10.44,12.19,488
179,24,50,26,7.9,11.67,5.28,560
180,24,56,20,7.05,11.49,1.71,298
181,26,54,20,6.8,6.74,7.02,182
182,30,50,20,6.65,7.22,4.41,215
183,20,58,22,6.6,11.8,5.08,317
184,22,56,22,6.29,8.98,1.59,218
185,30,50,20,6.88,19.68,4.37,148
186,28,48,24,6.69,7,4.14,222
187,38,40,22,6.87,7.22,4.86,217
188,28,54,18,6.83,6.3,7.95,214
189,40,34,26,7.13,4.32,7.54,165
190,36,40,24,7.82,4.62,7.39,198
191,34,44,22,7.77,4.8,6,163
192,30,50,20,7.38,4.18,11.18,218
193,28,50,22,6.99,23.56,6.2,211
194,40,40,20,6.97,12.95,5.52,252
195,36,38,26,7.52,5.64,3.01,168
196,40,38,22,7.33,11.85,2.55,155
197,40,38,22,7.44,4.8,5.58,183
198,52,30,18,7.89,4.01,4.33,185
199,40,36,24,7.2,4.49,1.07,147
200,26,40,34,7.13,16.03,63.96,521
201,30,38,32,7.4,13.87,14.69,304
202,34,34,32,7.39,8.06,8.2,174
203,22,38,40,7.77,9.07,4.05,212
204,34,36,30,7.73,5.24,3.38,282
205,26,40,34,7.71,17.44,3.75,183
206,36,30,34,7.79,10.35,14.23,326
207,16,52,32,7.48,5.86,22.63,467
208,20,44,36,7.7,5.86,8.25,262
209,24,36,40,7.99,4.93,8.35,186
210,30,36,34,7.71,7.93,8.32,273
211,20,34,46,7.81,4.58,7.11,260
212,20,34,46,7.82,7.57,16.86,481
213,16,46,38,8.08,8.54,18.56,327
214,44,32,24,8.02,14.05,4.29,187
215,28,42,30,8.01,17.08,4.75,201
216,40,32,28,7.98,14.75,33.11,209
217,28,44,28,8.1,8.63,3.58,213
218,38,28,34,8.09,6.56,3.07,123
219,36,32,32,7.98,1.98,3.73,206
220,24,36,40,8.02,2.6,15.18,362
221,44,28,28,8.02,3.13,3.62,143
222,28,32,40,7.87,30.43,7.31,171
223,22,48,30,7.38,4.4,5.9,256
224,26,46,28,7.49,4.36,10.99,284
225,18,38,44,7.84,11.62,11.61,174
226,28,28,44,7.84,6.08,7.16,136
227,46,22,32,7.6,4.05,23.73,131
228,36,26,38,7.45,4.62,17.07,138
229,22,34,44,7.83,4.05,5.31,161
230,22,50,28,7.7,2.29,18.48,335
231,26,36,38,7.8,5.46,7.95,188
232,20,38,42,7.91,9.47,7.1,198
233,26,38,36,8.08,6.34,10.93,203
234,18,44,38,7.8,7,8.45,339
235,30,36,34,7.86,3.48,16.55,370
236,22,36,42,7.8,13.96,10.57,231
237,24,34,42,7.93,6.43,9.39,289
238,24,28,48,7.85,7.27,19.4,664
239,12,40,48,7.74,6.52,31.72,1348
240,22,46,32,7.78,10.52,26.76,420
241,24,46,30,7.44,6.25,9.15,251
242,38,26,36,6.32,5.42,5.21,120
243,40,20,40,7.09,5.42,9.74,139
244,24,36,40,7.77,10.52,20.48,405
245,26,36,38,7.82,26.64,65.05,1665
246,20,48,32,7.28,10.79,7.99,293
247,16,46,38,7.78,9.33,25.21,450
248,12,38,50,7.97,6.69,5.86,272
249,30,26,44,7.83,5.28,5,376
250,30,26,44,7.78,4.67,2.36,128
251,26,32,42,7.94,4.54,1.65,185
252,20,24,56,7.95,14.35,16.06,165
253,20,32,48,7.84,5.72,6.72,239
254,20,40,40,7.73,13.08,12.12,373
255,22,38,40,7.54,4.71,7.36,346
256,28,34,38,7.81,12.11,2.25,245
257,28,34,38,7.84,23.86,11.2,735
258,24,30,46,7.93,6.74,6.27,260
259,14,36,50,7.84,6.78,9.47,395
260,20,40,40,7.79,19.15,6.03,190
261,16,36,48,7.8,46.67,5.22,136
262,28,34,38,7.57,4.89,4.04,166
263,22,44,34,7.8,7.13,6.8,277
264,16,40,44,7.81,2.91,28.18,425
265,16,42,42,7.84,3.96,3.12,204
266,20,36,44,7.75,34.52,7.46,161
267,26,38,36,7.55,17.04,59.88,899
268,28,32,40,7.9,16.64,4.7,203
269,32,30,38,7.95,10.26,4.28,175
270,24,40,36,7.96,7.27,7.67,315
271,28,32,40,7.77,61.25,66.24,762
272,28,32,40,7.72,16.38,7.31,282
273,26,36,38,7.8,9.29,12.86,285
274,20,32,48,7.83,19.46,14.42,547
275,32,30,38,8.08,23.78,53.7,984
276,20,54,26,7.76,8.1,4.55,345
277,14,52,34,7.84,52.44,12.92,425
278,28,42,30,7.73,7.53,10.4,507
279,20,52,28,7.57,18.58,4.1,507
280,16,48,36,7.58,14.49,6.6,190
281,22,30,48,7.6,20.04,10.29,280
282,36,24,40,6.78,13.83,24.84,332
283,44,14,42,5.65,47.91,69.93,508
284,40,14,46,6.2,18.01,25.8,166
285,42,28,30,6.26,4.23,10.38,133
286,40,6,54,6.7,9.29,36.42,252
287,48,22,30,5.91,20.61,33.51,173
288,38,20,42,5.62,8.19,9.71,81
289,42,20,38,6.83,9.95,72.41,530
290,44,12,44,7.16,6.78,45.66,300
291,46,16,38,7.37,8.81,58.84,218
292,42,18,40,6.66,11.89,51.02,340
293,42,16,42,6.14,14,25.94,255
294,36,14,50,6.55,28.27,38.29,282
295,22,42,36,7.56,12.55,17.26,274
296,20,44,36,7.43,14.27,8.78,228
297,24,36,40,6.42,10.48,26.76,252
298,24,34,42,6.99,10.92,28.79,292
299,30,32,38,6.41,7.88,11.49,141
300,18,46,36,7.62,24.61,18.06,307
301,18,36,46,7.54,12.86,9.83,127
302,28,30,42,7.65,11.58,8.83,454
303,28,32,40,7.64,9.6,13.87,403
304,18,38,44,7.62,20.92,22.88,713
305,12,44,44,7.65,17.79,20.63,1052
306,18,44,38,7.72,2.95,20.67,335
307,30,38,32,7.86,2.73,14.46,388
308,20,40,40,7.77,7.49,4.26,433
309,20,28,52,7.67,10.7,13.08,347
310,24,36,40,7.83,3.87,12.26,219
311,10,42,48,7.93,6.47,8.84,541
312,10,36,54,7.77,12.29,21.44,693
313,16,32,52,7.87,5.95,6.35,233
314,16,42,42,7.87,6.08,19.65,298
315,20,30,50,7.88,5.64,22,295
316,16,28,56,7.86,27.74,87.33,1297
317,22,44,34,7.73,10.39,14.02,340
318,10,24,66,7.92,12.15,9.6,207
319,14,22,64,8.14,18.4,11.04,163
320,10,22,68,8.02,7.31,9.38,164
321,20,56,24,6.37,79.08,34.71,346
322,30,18,52,7.88,11.62,11.99,144
323,40,12,48,7.47,102.81,8.68,109
324,40,32,28,7.66,2.73,10.25,199
325,22,40,38,7.78,7.22,10.11,257
326,40,28,32,7.91,7.13,4.13,146
327,20,54,26,7.9,7.97,4.79,256
328,24,44,32,7.83,5.02,17.41,284
329,36,34,30,6.76,7.57,15,140
330,44,26,30,5.76,1.37,31.35,218
331,40,22,38,5.75,1.89,6.35,90
332,44,24,32,7.82,5.55,15.82,317
333,36,36,28,7.68,7.04,14.87,259
334,22,42,36,7.81,11.54,73.08,926
335,30,30,40,8.01,23.12,9.43,311
336,22,46,32,7.99,37.25,5.13,222
337,30,28,42,8.03,24.13,8.1,305
338,30,32,38,6.24,17.13,6.78,148
339,32,48,20,6.64,5.15,8.69,185
340,36,32,32,6.34,2.78,13.6,110
341,36,32,32,7.54,23.69,13.13,97
342,20,50,30,5.7,3.04,29.67,239
343,16,36,48,7.82,24,14.49,319
344,28,42,30,5.2,26.29,40.67,249
345,34,34,32,7.8,27.04,11.03,353
346,40,26,34,8.06,19.15,3.54,151
347,22,34,44,7.89,21.71,5.55,361
348,30,38,32,7.71,73.53,98.24,571
349,42,18,40,8.15,21,11.71,188
350,18,40,42,8.04,18.36,5.41,259
351,18,44,38,8.04,17.35,6.57,300
352,24,24,52,8.16,19.42,4.18,136
353,24,22,54,7.97,23.03,5.47,197
354,34,34,32,7.8,45.62,16.8,330
355,42,22,36,7.82,32.23,31.81,269
356,48,20,32,8.03,21.75,6.43,173
357,22,50,28,6.25,18.27,7.32,222
358,16,64,20,7.44,3.35,27.81,219
359,38,32,30,4.63,39.58,11.16,122
360,38,28,34,4.55,25.45,21.5,106
361,34,36,30,7.59,1.72,8.74,123
362,18,46,36,7.13,15.01,10.77,335
363,22,30,48,7.55,5.06,14.17,141
364,44,22,34,5.5,3.04,16.18,71
365,44,22,34,6.08,22.06,9.57,180
366,48,20,32,4.82,11.62,23.82,139
367,48,28,24,6.46,19.42,29.3,213
368,38,20,42,4.97,17.17,14.96,123
369,48,16,36,6.41,7.57,5.72,136
370,32,40,28,5.97,6.08,7.59,132
371,34,38,28,5.92,4.09,10.12,149
372,46,30,24,6.36,13.34,18.52,283
373,32,38,30,7.43,63.62,79.08,406
374,34,36,30,7.58,74.15,58.22,658
375,32,42,26,7.24,20.91,16.85,791
376,24,46,30,6.63,17.13,9.7,512
377,38,34,28,7.66,5.15,4.55,302
378,24,50,26,7.53,8.01,6.69,213
379,34,32,34,7.2,19.29,7.24,290
380,28,46,26,7.43,5.94,9.22,634
