ID,Sand %,Clay %,Silt %,pH,N,P,K
632,48,24,28,6.05,0.97,11.25,152
633,40,22,38,6.3,3.26,10.5,92
634,42,12,46,5.83,9.42,9.28,46
635,30,16,54,5.12,2.69,11.69,60
636,56,8,36,5.38,3.48,42.75,104
637,48,10,42,5.33,16.64,37.16,232
638,56,10,34,5.4,17.92,4.04,52
639,56,8,36,5.3,9.82,8.38,31
640,42,18,40,5.25,16.86,10.88,71
641,50,22,28,6.72,18.54,12.11,128
642,48,26,26,7.09,16.03,9.84,162
643,40,14,46,5.27,6.56,21.79,96
644,38,30,32,6.58,8.41,2.58,166
645,48,20,32,5.4,7,5.71,90
646,42,28,30,5.92,23.25,4.67,112
647,40,32,28,6.79,20.47,11.33,137
648,32,44,24,7.06,9.73,14.1,183
649,32,30,38,7.43,11.93,3.77,121
650,20,44,36,7.51,13.03,3.95,118
651,32,36,32,4.89,23.12,8.77,148
652,44,24,32,4.49,24,15.35,107
653,32,30,38,6.2,17.52,5.08,137
654,30,40,30,4.95,41.74,15.98,253
655,20,54,26,6.02,13.83,7.06,485
656,22,52,26,5.49,13.17,18.76,363
657,32,36,32,4.91,17.74,12.31,159
658,28,50,22,7.25,18.89,8.8,455
659,44,26,30,5.92,21.4,24.85,154
660,38,34,28,5.3,63.4,14.65,374
661,54,22,24,6.98,15.94,17.44,142
662,64,18,18,6.78,10.22,14.59,200
663,30,42,28,5.12,26.9,13.81,315
664,38,34,28,4.93,20.12,10.34,166
665,44,28,28,4.67,16.16,7.41,95
666,68,10,22,7.87,5.55,3.63,73
667,54,22,24,7.46,5.9,10.41,258
668,36,34,30,4.55,8.98,5.07,417
669,44,14,42,5.07,13.83,9.57,231
670,48,26,26,4.76,8.06,11.1,149
671,48,20,32,4.98,5.55,8.46,101
672,36,22,42,6.76,8.37,25.45,142
673,30,24,46,6.5,6.6,8.89,169
674,42,18,40,5.22,8.01,7.92,128
675,32,16,52,5.15,13.69,11.19,120
676,34,30,36,6.07,25.01,6.16,175
677,38,22,40,5.23,5.81,5.96,154
678,56,10,34,5.85,4.84,41.34,106
679,38,24,38,6.12,19.55,23.68,171
680,38,24,38,5.28,11.32,40.94,267
681,26,34,40,5.4,13.12,5.36,463
682,40,22,38,7.25,11.76,15.98,195
683,38,22,40,6.77,9.11,27.69,241
684,56,18,26,6,16.56,34.11,312
685,30,24,46,5.63,16.25,9.32,201
686,34,24,42,5.84,18.27,9.39,167
687,36,32,32,7.26,13.03,53.75,772
688,30,36,34,7.51,8.94,5.36,403
689,54,18,28,5,14.05,4.25,152
690,56,16,28,5.08,16.47,10.52,235
691,42,20,38,6.16,8.98,4.99,165
692,70,8,22,5.8,6.43,14.55,202
693,66,10,24,4.99,12.59,2.57,107
694,48,20,32,5.1,3.61,13.11,173
695,34,30,36,5.8,5.46,29.79,179
696,36,36,28,5.92,18.76,20.22,256
697,20,54,26,4.77,6.25,13.25,319
698,24,46,30,5.03,24.7,11.06,277
699,22,50,28,6.43,12.81,14.13,392
700,66,10,24,6.21,13.08,24.49,378
701,34,44,22,5.07,14.18,21.45,458
702,28,48,24,6.95,10.3,10.45,273
703,30,46,24,6.95,10.22,9.89,259
704,32,36,32,7.6,18.8,44.84,791
705,22,32,46,7.58,15.9,5.18,375
706,26,40,34,7.52,3.96,4.04,380
707,38,34,28,7.65,23.64,79.83,1509
708,42,28,30,7.58,28,32.14,704
709,36,36,28,7.65,40.51,10.5,395
710,30,40,30,7.75,25.41,4.68,390
711,66,16,18,5.5,47.6,13.22,181
712,50,20,30,7.63,7.44,11.62,307
713,32,32,36,4.93,16.91,5.54,203
714,20,38,42,7.57,24,2.77,336
715,20,40,40,7.72,24.7,4.1,466
716,28,48,24,7.67,11.84,3.29,436
717,40,22,38,7.8,12.06,3.28,197
718,36,22,42,7.89,4.71,3.86,190
719,38,28,34,7.79,17.44,5.08,223
720,24,44,32,7.75,9.55,2.7,338
721,26,46,28,7,9.33,6.64,347
722,40,32,28,7.7,11.01,4.14,279
723,38,24,38,7.79,7.66,2.1,242
724,40,24,36,7.74,13.87,2.06,221
725,52,20,28,7.83,5.42,1.5,170
726,24,56,20,6.76,19.86,16.2,205
727,62,12,26,7.75,31.66,7.25,137
728,36,38,26,5.02,9.16,13.44,189
729,32,46,22,5.94,26.42,20,330
730,38,34,28,7.64,9.77,5.59,364
731,26,42,32,7.64,8.89,8.72,438
732,22,50,28,7.38,10.96,19.87,692
733,28,36,36,7.66,20.56,11.6,443
734,54,18,28,5.74,21.22,12.63,182
735,44,14,42,6.26,15.28,27.33,260
736,50,14,36,6.02,12.02,15.05,140
737,48,14,38,5.64,16.2,22.42,226
738,48,12,40,5.57,6.6,6.76,166
739,58,8,34,5.93,6.96,6.54,134
740,20,48,32,7.48,45.44,14.03,335
741,42,38,20,7.24,16.82,8.86,327
742,18,54,28,6.92,42.23,18.46,753
743,22,50,28,6.03,17.13,7.55,292
744,44,22,34,5.93,25.49,5.61,278
745,42,34,24,5.14,24.7,12.77,435
746,36,32,32,7.66,16.38,10.85,386
747,22,48,30,7.62,4.93,6.09,362
748,24,52,24,7.64,9.51,9.07,439
749,36,36,28,7.8,5.59,7.25,285
750,22,56,22,7.15,8.32,13.64,500
751,36,32,32,7.74,8.63,20.61,532
752,40,40,20,7.34,9.38,45.07,764
753,38,38,24,7.61,8.23,28.6,513
754,40,28,32,7.8,3.74,4.63,389
755,50,20,30,7.82,8.32,20.88,419
756,24,36,40,7.65,8.94,6.28,313
757,24,18,58,7.88,13.21,5.36,204
758,16,38,46,7.7,15.19,6.26,383
759,26,26,48,7.68,53.54,38.43,1211
760,26,44,30,7.46,7.93,17.13,398
761,24,40,36,7.58,24.22,22.38,849
762,18,36,46,7.45,120.64,35.09,967
763,20,26,54,7.64,33.33,38.69,863
764,30,36,34,6.08,16.51,8.7,414
765,22,44,34,6.72,5.11,60.72,655
766,36,34,30,5.73,9.11,4.53,279
767,30,36,34,7.15,3.17,6.27,332
768,24,44,32,7.05,7.57,5.78,378
769,36,36,28,7.3,6.74,5.12,381
770,34,36,30,7.32,7.22,6.31,417
771,30,38,32,7.73,5.33,5.3,437
772,36,38,26,7.87,6.3,9.11,522
773,38,38,24,7.71,9.07,5,360
774,28,36,36,7.79,6.52,8.55,335
775,28,38,34,7.75,3.52,4.86,367
776,44,34,22,7.72,4.32,5.21,452
777,26,46,28,6.72,7.66,20.67,395
778,40,28,32,7.79,5.2,4.14,286
779,34,28,38,7.63,17.13,6.9,582
780,16,38,46,7.73,3.92,7.93,335
781,20,34,46,7.8,10.35,3.68,622
